id_w_time,latitude,longitude,id,x,y,year,month,week,date,time_of_year,acq_time,fire,pop_density,obs_ID,city,in_urban_area,settlement,adm2_name,pop_exact,excess_fire,predicted_fire,fire_in_window,war_fire,sustained_excess,id_big,length_of_war_fire_area,war_fire_restrictive,map_col
41.4--1.2-143-2023,-1.16037,41.4428,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,5,21,2023-05-23,143,1051,1,5.30592977669504,26546,NA,FALSE,FALSE,NA,6.261070251464844,0,6,8,0,1,41--1,207,0,NA
41.4--1.2-143-2023,-1.15936,41.4406,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,5,21,2023-05-23,143,1002,1,5.30592977669504,26549,NA,FALSE,FALSE,NA,6.261070251464844,0,6,8,0,1,41--1,207,0,NA
41.4--1.2-143-2023,-1.15306,41.44365,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,5,21,2023-05-23,143,1002,1,5.30592977669504,26545,NA,FALSE,FALSE,NA,6.423402786254883,0,6,8,0,1,41--1,207,0,NA
41.4--1.2-143-2023,-1.16507,41.44143,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,5,21,2023-05-23,143,1002,1,5.30592977669504,26543,NA,FALSE,FALSE,NA,6.261070251464844,0,6,8,0,1,41--1,207,0,NA
41.4--1.2-143-2023,-1.16452,41.43936,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,5,21,2023-05-23,143,1051,1,5.30592977669504,26548,NA,FALSE,FALSE,NA,5.955477714538574,0,6,8,0,1,41--1,207,0,NA
41.4--1.2-143-2023,-1.15976,41.44678,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,5,21,2023-05-23,143,1051,1,5.30592977669504,26542,NA,FALSE,FALSE,NA,6.261070251464844,0,6,8,0,1,41--1,207,0,NA
41.4--1.2-143-2023,-1.15683,41.44227,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,5,21,2023-05-23,143,1051,1,5.30592977669504,26547,NA,FALSE,FALSE,NA,6.423402786254883,0,6,8,0,1,41--1,207,0,NA
41.4--1.2-143-2023,-1.15877,41.44448,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,5,21,2023-05-23,143,1002,1,5.30592977669504,26544,NA,FALSE,FALSE,NA,6.261070251464844,0,6,8,0,1,41--1,207,0,NA
41.4--1.2-226-2023,-1.20517,41.39954,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,8,33,2023-08-14,226,1045,1,5.30592977669504,26686,NA,FALSE,FALSE,NA,5.879465579986573,0,6,8,0,1,41--1,207,0,NA
41.4--1.2-226-2023,-1.21338,41.36819,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,8,33,2023-08-14,226,1045,1,5.30592977669504,26692,NA,FALSE,FALSE,NA,4.308256149291992,0,6,8,0,1,41--1,207,0,NA
41.4--1.2-226-2023,-1.20907,41.3965,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,8,33,2023-08-14,226,1045,1,5.30592977669504,26689,NA,FALSE,FALSE,NA,5.292478084564209,0,6,8,0,1,41--1,207,0,NA
41.4--1.2-226-2023,-1.20571,41.396,41.4--1.2,41.400000000000006,-1.2000000000000002,2023,8,33,2023-08-14,226,1045,1,5.30592977669504,26688,NA,FALSE,FALSE,NA,4.866588115692139,0,6,8,0,1,41--1,207,0,NA
