event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
SOM39079,"25 December 2022",2022,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2022-)",,1,12,,706,"Eastern Africa",Somalia,"Lower Shabelle",Afgooye,,Afgooye,2.15,45.116,2,"Al Furqaan; Calamada; Radio Risala; Undisclosed Source","Local partner-Other","On 25 December 2022, overnight, Al Shabaab carried out a hit and run attack against government security forces (SNA) at a defensive base in Hanta Dheere village near Afgooye town (Afgooye, Lower Shabelle). Both sides exchanged heavy gunfire. There were no casualties. Al Shabaab claimed responsibility.",0,,1680570804
SOM39081,"25 December 2022",2022,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"Police Forces of Somalia (2022-)",,1,12,,706,"Eastern Africa",Somalia,Banadir,Banadir,,"Mogadishu - Shibis",2.0476,45.35,1,"Al Furqaan; Calamada; Undisclosed Source","Local partner-Other","On 25 December 2022, overnight, Al Shabaab threw a hand grenade against government police forces in a checkpoint at the Calasow Dheere neighborhood in Mogadishu - Shibis (Banadir). The security forces reacted with gunfire after the blast. There were no casualties. Al Shabaab claimed responsibility.",0,,1680570804
SOM39130,"25 December 2022",2022,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","Al Shabaab",,2,"Military Forces of Somalia (2022-)",,1,12,,706,"Eastern Africa",Somalia,Banadir,Banadir,,"Mogadishu - Daynile",2.0581,45.3003,1,Calamada,National,"On 25 December 2022, an IED planted by Al Shabaab detonated, targeting government security forces (SNA) in a checkpoint at the Tabeelaha Sheikh Ibrahim Weydow neighborhood in Mogadishu - Daynile (Banadir). There were no fatalities. One soldier was injured. Al Shabaab claimed responsibility.",0,,1680570804
SOM39071,"25 December 2022",2022,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2022-)","Hawadle Clan Militia (Somalia)",1,12,,706,"Eastern Africa",Somalia,Hiraan,"Belet Weyne",,"Hawo Gadid",4.8,45.2,1,"Al Furqaan; Caasimada; Calamada; Radio Risala",National,"On 25 December 2022, Al Shabaab launched an attack against government security forces (SNA) and Hawadle sub clan militia (Macawiisley) in Hawo Gadid village (Belet Weyne, Hiraan). Both sides exchanged gunfire. Al Shabaab claimed killing five soldiers.",5,,1680570807
SOM39072,"24 December 2022",2022,1,"Political violence","Violence against civilians",Attack,"Al Shabaab",,2,"Civilians (Somalia)","Women (Somalia)",7,27,"Civilian targeting",706,"Eastern Africa",Somalia,"Middle Juba",Saakow,,Saakow,1.6394,42.4522,1,"Undisclosed Source","Local partner-Other","On 24 December 2022, Al Shabaab publicly thrashed a woman with 100 lashes in Saakow town (Saakow, Middle Juba). The Al Shabaab Sharia Court accused the women of committing adultery and exiled the woman for one year.",0,,1673291088
SOM39104,"24 December 2022",2022,1,"Political violence","Violence against civilians",Attack,"Habar Gedir-Ayr Sub-Clan Militia (Somalia)",,4,"Civilians (Somalia)","Marehan Clan Group (Somalia)",7,47,"Civilian targeting",706,"Eastern Africa",Somalia,Galgaduud,Cabudwaaq,,Balanbale,5.689,45.9693,2,"Undisclosed Source","Local partner-Other","On 24 December 2022, Habar Gedir Ayr sub clan militia shot and killed a civilian from Marehan clan near Balanbale village (Cabudwaaq, Galgaduud). The motive was due clan revenge.",1,,1673291088
SOM39120,"24 December 2022",2022,1,"Political violence","Explosions/Remote violence","Remote explosive/landmine/IED","Al Shabaab",,2,"Civilians (Somalia)","Labor Group (Somalia)",7,27,"Civilian targeting",706,"Eastern Africa",Somalia,Bakool,Xudur,,Hudur,4.1237,43.8915,2,Goobjoob,National,"On 24 December 2022, an IED planted by Al Shabaab detonated, targeting a passenger vehicle travelling in the vicinity of Qurac Joome village near Hudur town (Xudur, Bakool). The vehicle was transporting commercial goods and headed to Ceel Barde town. One person was killed and three others were injured.",1,,1673291088
SOM39141,"24 December 2022",2022,1,"Political violence","Violence against civilians",Attack,"Marehan-Wagardhac Sub-Clan Militia (Somalia)",,4,"Civilians (Somalia)","Pastoralists (Somalia); Habar Gedir-Saad Sub-Clan Group (Somalia)",7,47,"Civilian targeting",706,"Eastern Africa",Somalia,Mudug,Gaalkacyo,,Saaxo,6.7167,47,2,"Undisclosed Source","Local partner-Other","On 24 December 2022, Marehan Wagardhac sub clan militia shot and killed two pastoralists from Habar Gedir Saad sub clan near Saaxo village (Gaalkacyo, Mudug). The motive was due clan revenge.",2,,1673291089
SOM39171,"24 December 2022",2022,1,"Political violence","Violence against civilians",Attack,"Police Forces of Somalia (2022-)",,1,"Civilians (Somalia)","Taxi Drivers (Somalia)",7,17,"Civilian targeting",706,"Eastern Africa",Somalia,Banadir,Banadir,,"Mogadishu - Karan",2.0652,45.39,1,Caasimada,National,"On 24 December 2022, government police forces convoy opened gunfire during a traffic jam caused by public vehicles in Mogadishu - Karan (Banadir). One tuktuk drive was killed.",1,,1673291089
SOM39067,"24 December 2022",2022,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2022-)",,1,12,,706,"Eastern Africa",Somalia,Banadir,Banadir,,"Mogadishu - Hawl Wadaag",2.048,45.32,1,"Calamada; Somali Memo",National,"On 24 December 2022, overnight, Al Shabaab carried out a probing attack against government security forces (SNA) at a checkpoint at the Eveeko neighborhood in Mogadishu - Hawl Wadaag (Banadir). Both sides exchanged heavy gunfire. There were no casualties. Al Shabaab claimed responsibility.",0,,1680570804
SOM39068,"24 December 2022",2022,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2022-)",,1,12,,706,"Eastern Africa",Somalia,Banadir,Banadir,,"Mogadishu - Wardhigley",2.0549,45.33,1,"Calamada; Somali Memo",National,"On 24 December 2022, overnight, Al Shabaab carried out a probing attack against government security forces at a checkpoint at the Geed Jaceel neighborhood in Mogadishu - Wardhigley (Banadir). Both sides exchanged heavy gunfire. There were no casualties. Al Shabaab claimed responsibility.",0,,1680570804
SOM39069,"24 December 2022",2022,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2022-)",,1,12,,706,"Eastern Africa",Somalia,"Lower Shabelle",Afgooye,,Afgooye,2.15,45.116,1,"Calamada; Somali Memo",National,"On 24 December 2022, overnight, Al Shabaab launched an attack against government security forces (SNA) at a checkpoint in Afgooye town (Afgooye, Lower Juba). Both sides exchanged gunfire. One soldier was killed. Al Shabaab claimed responsibility.",1,,1680570804
SOM39070,"24 December 2022",2022,1,"Political violence",Battles,"Armed clash","Al Shabaab",,2,"Military Forces of Somalia (2022-)",,1,12,,706,"Eastern Africa",Somalia,"Lower Shabelle",Marka,,Janaale,1.8,44.7,1,"Calamada; Somali Memo",National,"On 24 December 2022, overnight, Al Shabaab threw a hand grenade against government security forces (SNA) on a foot patrol in Janaale village (Marka, Lower Shabelle). Security forces reacted with gunfire after the explosion. There were no casualties. Al Shabaab claimed responsibility.",0,,1680570804
SOM39112,"24 December 2022",2022,1,"Strategic developments","Strategic developments",Arrests,"Police Forces of Somalia (2022-) Galmudug Police Force",,1,"Civilians (Somalia)","Habar Gedir-Saleban Sub-Clan Group (Somalia)",7,17,,706,"Eastern Africa",Somalia,Galgaduud,Cadaado,,Cadaado,6.1457,46.6271,1,"Caasimada; Hiiraan (Somalia); Undisclosed Source","Local partner-Other","On 24 December 2022, Galmudug police forces arrested three clan elders from Habar Gedir Saleban clan in Cadaado town (Cadaado, Galgaduud). This is after the clan elders signed an agreement with Al Shabaab in Xarardheere (coded separately).",0,,1680579870
SOM39169,"24 December 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Somalia)","Women (Somalia)",6,,,0,60,,706,"Eastern Africa",Somalia,Gedo,Luuq,,Luuq,3.8,42.5446,1,"Undisclosed Source","Local partner-Other","On 24 December 2022, local residents mainly women protested against the recruitment of their children by the government in Luuq town (Luuq, Gedo), after the government recruited hundreds of youths as soldiers.",0,"crowd size=no report",1693414522
SOM39177,"24 December 2022",2022,1,Demonstrations,Protests,"Peaceful protest","Protesters (Somalia)",,6,,,0,60,,706,"Eastern Africa",Somalia,Banadir,Banadir,,"Mogadishu - Karan",2.0652,45.39,1,Caasimada,National,"On 24 December 2022, local residents protested against police brutality in Mogadishu - Karan (Banadir). The protesters demanded justice for a driver killed by the police (coded separately).",0,"crowd size=no report",1693414522
SOM39121,"23 December 2022",2022,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of the United States (2021-)","Military Forces of Somalia (2022-) Special Forces",8,"Al Shabaab",,2,28,,706,"Eastern Africa",Somalia,"Middle Shabelle",Cadale,,Cadale,2.7603,46.3222,2,"AFRICOM; Caasimada; Goobjoob; Hiiraan (Somalia); Radio Risala",National-International,"On 23 December 2022, US forces in coordination with government security forces (Danab/Bancroft) conducted an airstrike against Al Shabaab at hideouts near Cadale town (Cadale, Middle Shabelle). The airstrike supported the ongoing operation in the area. Six militants were killed.",6,,1673291088
SOM39134,"23 December 2022",2022,1,"Political violence",Battles,"Armed clash","Military Forces of Somalia (2022-)","Police Forces of Somalia (2022-) Southwest Special Police Forces",1,"Military Forces of Somalia (2022-)",,1,11,,706,"Eastern Africa",Somalia,Bay,Baydhaba,,Baidoa,3.1172,43.6469,1,"Caasimada; Goobjoob; Hiiraan (Somalia); Radio Dalsan; Radio Risala; Shabelle Media Network; VOA",National-International,"On 23 December 2022, government security forces (SNA) and Southwest Special Police Forces (SWSPF) loyal to Southwest state president attacked the residential house of an opposition leader and clashed with another security forces (Badbaadada Southwest state) loyal oppositions in Baidoa town (Baydhaba, Bay). The opposition forces (Badbaadada Southwest state) are against one year term extension by the state president. The clashes was initiated by heavy gunfire from both sides. 10 people were killed including six civilians bystanders and several others were injured.",10,,1673291088
SOM39140,"23 December 2022",2022,1,"Political violence","Violence against civilians",Attack,"Marehan Clan Militia (Somalia)",,4,"Civilians (Somalia)","Habar Gedir-Ayr Sub-Clan Group (Somalia)",7,47,"Civilian targeting",706,"Eastern Africa",Somalia,Galgaduud,Cabudwaaq,,Balanbale,5.689,45.9693,2,"Undisclosed Source","Local partner-Other","On 23 December 2022, Marehan clan militia shot and killed a civilian from Habar Gedir Ayr sub clan militia near Balanbale village (Cabudwaaq, Galgaduud). The motive was due to clan revenge.",1,,1673291089
